

lambda(m), Y
5.49828e-07, 3.52402e-06
5.48885e-07, 3.11659e-06
5.47945e-07, 2.75279e-06
5.47009e-07, 2.42831e-06
5.46075e-07, 2.13932e-06
5.45145e-07, 1.88224e-06
5.44218e-07, 1.65386e-06
5.43294e-07, 1.45124e-06
5.42373e-07, 1.27172e-06
5.41455e-07, 1.11287e-06
5.40541e-07, 9.72509e-07
5.39629e-07, 8.4866e-07
5.38721e-07, 7.39529e-07
5.37815e-07, 6.43507e-07
5.36913e-07, 5.59136e-07
5.36013e-07, 4.85114e-07
5.35117e-07, 4.20264e-07
5.34224e-07, 3.63536e-07
5.33333e-07, 3.13985e-07
5.32446e-07, 2.70771e-07
5.31561e-07, 2.3314e-07
5.3068e-07, 2.00422e-07
5.29801e-07, 1.72021e-07
5.28926e-07, 1.47406e-07
5.28053e-07, 1.26106e-07
5.27183e-07, 1.07706e-07
5.26316e-07, 9.18367e-08
5.25452e-07, 7.81729e-08
5.2459e-07, 6.6428e-08
5.23732e-07, 5.63498e-08
5.22876e-07, 4.77167e-08
5.22023e-07, 4.03345e-08
5.21173e-07, 3.40331e-08
5.20325e-07, 2.86638e-08
5.19481e-07, 2.40972e-08
5.18639e-07, 2.02204e-08
5.17799e-07, 1.69353e-08
5.16963e-07, 1.41568e-08
5.16129e-07, 1.18113e-08
5.15298e-07, 9.83508e-09
5.14469e-07, 8.17331e-09
5.13644e-07, 6.7787e-09
5.12821e-07, 5.61064e-09
5.12e-07, 4.6343e-09
5.11182e-07, 3.8199e-09
5.10367e-07, 3.14198e-09
5.09554e-07, 2.57887e-09
5.08744e-07, 2.1121e-09
5.07937e-07, 1.72604e-09
5.07132e-07, 1.40742e-09
5.06329e-07, 1.14504e-09
5.05529e-07, 9.29461e-10
5.04732e-07, 7.52736e-10
5.03937e-07, 6.08194e-10
5.03145e-07, 4.90249e-10
5.02355e-07, 3.94233e-10
5.01567e-07, 3.16255e-10
5.00782e-07, 2.5308e-10
5e-07, 2.02022e-10
4.9922e-07, 1.6086e-10
4.98442e-07, 1.27759e-10
4.97667e-07, 1.01207e-10
4.96894e-07, 7.99648e-11
4.96124e-07, 6.30137e-11
4.95356e-07, 4.95229e-11
4.9459e-07, 3.88148e-11
4.93827e-07, 3.03383e-11
4.93066e-07, 2.36469e-11
4.92308e-07, 1.83794e-11
4.91551e-07, 1.42443e-11
4.90798e-07, 1.10076e-11
4.90046e-07, 8.48143e-12
4.89297e-07, 6.51553e-12
4.8855e-07, 4.99021e-12
4.87805e-07, 3.8103e-12
4.87062e-07, 2.90037e-12
4.86322e-07, 2.20081e-12
4.85584e-07, 1.66467e-12
4.84848e-07, 1.25508e-12
4.84115e-07, 9.4318e-13
4.83384e-07, 7.06443e-13
4.82655e-07, 5.2735e-13
4.81928e-07, 3.92321e-13
4.81203e-07, 2.9086e-13
4.8048e-07, 2.14884e-13
4.7976e-07, 1.58192e-13
4.79042e-07, 1.16038e-13
4.78326e-07, 8.48067e-14
4.77612e-07, 6.17524e-14
4.769e-07, 4.47969e-14
4.7619e-07, 3.23735e-14
4.75483e-07, 2.33054e-14
4.74777e-07, 1.67118e-14
4.74074e-07, 1.19362e-14
4.73373e-07, 8.49108e-15
4.72674e-07, 6.01571e-15
4.71976e-07, 4.24437e-15
4.71281e-07, 2.98205e-15
4.70588e-07, 2.08626e-15
4.69897e-07, 1.45327e-15
4.69208e-07, 1.0079e-15
